"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
0,"ЖК АДАЛ в Аксае",235000,"Строящийся","Первая очередь - III квартал 2023 г.Вторая очередь - IV квартал 2024 г.","Аксай, 7 микрорайон, 12Б","ТОО НазТур","https://krisha.kz/complex/show/aksai/adal/","comfort","5 этажей","3 м","monolithic","pre-finish",116,"na","na","Не указано","Не указано","na","Не указано","aksaj"
0,"ЖК NASREDDIN в Аксу",3e+05,"Строящийся","III квартал 2024 г.","Аксу, ул. Ауезова 65/1","ND Group","https://krisha.kz/complex/show/aksu/nasreddin/","business","3 этажа","3 м","brick","shell",12,"discrete","central","Не указано","травертин","both","12","aksu"
0,"ЖК MONACO в Актау",4e+05,"Строящийся","I квартал 2026 г.","Актау, 7a микрорайон, 12/6","ТОО ""KazStroyPremium-2007""","https://krisha.kz/complex/show/aktau/monaco/","business","10 этажей","3.3 м","monolithic","shell",80,"discrete","central","грузовой, пассажирский","Не указано","both","80","aktau"
1,"ЖК Ilan Tower в Актау",560000,"Строящийся","II квартал 2025 г.","Актау, 15 микрорайон","Caspian Coast","https://krisha.kz/complex/show/aktau/ilantower/","elite","16 этажей","3.2 м","monolithic","shell",82,"discrete","autonomous","грузовой, пассажирский","hpl-панели","underground","69","aktau"
2,"ЖК Rauda в Актау",215000,"Строящийся","IV квартал 2024 г.","Актау, 29А микрорайон, уч 130/5","Alan Towers Construction","https://krisha.kz/complex/show/aktau/rauda/","comfort","6 этажей","3 м","brick","shell",215,"discrete","central","пассажирский","Не указано","surface","200","aktau"
3,"ЖК Blue Waters в Актау",720000,"Строящийся","IV квартал 2025 г.","Актау, 15 мкр, 48 участок","Iksor Development","https://krisha.kz/complex/show/aktau/bluewaters/","business","22 этажа","3 м","monolithic","shell",179,"both","autonomous","грузовой, пассажирский","Не указано","both","179","aktau"
4,"ЖК Taras в Актау",390000,"Строящийся","IV квартал 2024 г.","Актау, 7А мкр., уч.№18","Caspian Coast","https://krisha.kz/complex/show/aktau/taras/","elite","12 этажей","3 м","monolithic","pre-finish",186,"both","autonomous","грузовой, пассажирский","фиброцементные панели","underground","186","aktau"
5,"ЖК White House Residence в Актау",380000,"Строящийся","III квартал 2024 г.","Актау, 15-й мкр.","Nur Service","https://krisha.kz/complex/show/aktau/whitehouseresidence/","elite","16 этажей","3 м","monolithic","shell",173,"na","na","грузовой, пассажирский","Не указано","both","Не указано","aktau"
6,"ЖК Асемай 2 в Актау",2e+05,"Строящийся","I квартал 2026 г.","Актау, 41 мкр 5/6","Гранит-Бетон","https://krisha.kz/complex/show/aktau/asemay2/","business","10 этажей","3.2 м","monolithic","pre-finish",227,"discrete","central","грузовой, пассажирский","Не указано","surface","170","aktau"
7,"Коттеджный городок Rixos Golf&Villas Aktau в Актау",1e+06,"Строящийся","2025 г.","Актау, ул. Теплый пляж, 34","SEMBOL INSAAT","https://krisha.kz/complex/show/aktau/rixosgolsvillas/","elite","2 этажа","3.4 м","brick","shell",98,"na","na","Не указано","Не указано","na","Не указано","aktau"
8,"ЖК AULET в Актау",180000,"Строящийся","IV квартал 2025 г.","Актау, 35 мкр","Ansar Development","https://krisha.kz/complex/show/aktau/aulet/","comfort","5 этажей","3.1 м","brick","shell",110,"na","autonomous","Не указано","Не указано","surface","Не указано","aktau"
9,"ЖК Lagyl Tas в Актау",280000,"Строящийся","II квартал 2025 г.","Актау, 41 мкр.","Барьер Плюс","https://krisha.kz/complex/show/aktau/lagyltas/","comfort","8 этажей","3 м","brick","shell",522,"discrete","central","грузопассажирский","керамический кирпич","surface","Не указано","aktau"
10,"Клубный дом Soho 14 в Актау",870000,"Строящийся","III квартал 2024 г.","Актау, 14 микрарайон","K7 Group","https://krisha.kz/complex/show/aktau/soho14/","elite","3-10 этажей","3.2 м","monolithic","pre-finish",79,"both","autonomous","Не указано","hpl-панели","both","Не указано","aktau"
11,"ЖК Grand Avenue 2 в Актау",280000,"Строящийся","II квартал 2024 г.","Актау, 28 микрорайон, 75 участок","NB Holding","https://krisha.kz/complex/show/aktau/grandavenue2/","business","11 этажей","3 м","monolithic","shell",180,"na","na","грузовой, пассажирский","Не указано","both","Не указано","aktau"
